Symbol,Datetime,Open,High,Low,Close,Volume,fetched_at_utc
GOOGL,2025-10-22 00:00:00,254.37,256.36,249.29,251.69,35029370,2025-11-22 20:32:03.925064
GOOGL,2025-10-21 00:00:00,254.74,254.88,244.15,250.46,47312098,2025-11-22 20:32:03.925953
GOOGL,2025-10-20 00:00:00,254.69,257.33,254.23,256.55,22350155,2025-11-22 20:32:03.926816
GOOGL,2025-10-17 00:00:00,250.76,254.22,247.81,253.3,29671629,2025-11-22 20:32:03.927643
GOOGL,2025-10-16 00:00:00,251.765,256.96,250.101,251.46,27997159,2025-11-22 20:32:03.928461
GOOGL,2025-10-15 00:00:00,247.245,252.11,245.99,251.03,27007690,2025-11-22 20:32:03.929330
GOOGL,2025-10-14 00:00:00,241.23,247.12,240.51,245.45,22111572,2025-11-22 20:32:03.929908
GOOGL,2025-10-13 00:00:00,240.21,244.5,239.71,244.15,24995028,2025-11-22 20:32:03.930812
GOOGL,2025-10-10 00:00:00,241.43,244.09,235.84,236.57,33180323,2025-11-22 20:32:03.931894
GOOGL,2025-10-09 00:00:00,244.47,244.76,239.15,241.53,27892086,2025-11-22 20:32:03.932717
GOOGL,2025-10-08 00:00:00,244.96,246.005,243.82,244.62,21307104,2025-11-22 20:32:03.933369
GOOGL,2025-10-07 00:00:00,248.27,250.44,245.52,245.76,23181285,2025-11-22 20:32:03.933951
GOOGL,2025-10-06 00:00:00,244.78,251.32,244.58,250.43,28894653,2025-11-22 20:32:03.934521
GOOGL,2025-10-03 00:00:00,244.49,246.3,241.655,245.35,30249559,2025-11-22 20:32:03.935628
GOOGL,2025-10-02 00:00:00,245.15,246.81,242.3,245.69,25483298,2025-11-22 20:32:03.936713
GOOGL,2025-10-01 00:00:00,240.75,246.3,238.61,244.9,31658234,2025-11-22 20:32:03.937525
GOOGL,2025-09-30 00:00:00,242.81,243.29,239.245,243.1,34724346,2025-11-22 20:32:03.938439
GOOGL,2025-09-29 00:00:00,247.85,251.1486,242.77,244.05,32505777,2025-11-22 20:32:03.939195
GOOGL,2025-09-26 00:00:00,247.065,249.42,245.97,246.54,18503194,2025-11-22 20:32:03.940244
GOOGL,2025-09-25 00:00:00,244.4,246.49,240.74,245.79,31020383,2025-11-22 20:32:03.940807
GOOGL,2025-09-24 00:00:00,251.66,252.3501,246.44,247.14,28201003,2025-11-22 20:32:03.941266
GOOGL,2025-09-23 00:00:00,253.04,254.36,250.48,251.66,26628016,2025-11-22 20:32:03.941802
GOOGL,2025-09-22 00:00:00,254.43,255.78,250.3,252.53,32290538,2025-11-22 20:32:03.942306
GOOGL,2025-09-19 00:00:00,253.25,256.0,251.81,254.72,55571424,2025-11-22 20:32:03.942775
GOOGL,2025-09-18 00:00:00,251.68,253.99,249.8,252.03,31239474,2025-11-22 20:32:03.943478
GOOGL,2025-09-17 00:00:00,251.22,251.6,246.28,249.53,34107992,2025-11-22 20:32:03.944324
GOOGL,2025-09-16 00:00:00,252.08,253.04,249.47,251.16,34109720,2025-11-22 20:32:03.945253
GOOGL,2025-09-15 00:00:00,244.66,252.4099,244.66,251.61,58383796,2025-11-22 20:32:03.946012
GOOGL,2025-09-12 00:00:00,240.37,242.075,238.0,240.8,26771610,2025-11-22 20:32:03.946506
GOOGL,2025-09-11 00:00:00,239.88,242.25,236.25,240.37,30599328,2025-11-22 20:32:03.947030
GOOGL,2025-09-10 00:00:00,238.9,241.66,237.85,239.17,35141074,2025-11-22 20:32:03.947517
GOOGL,2025-09-09 00:00:00,234.165,240.47,233.229,239.63,38060959,2025-11-22 20:32:03.948019
GOOGL,2025-09-08 00:00:00,235.47,238.13,233.67,234.04,32474743,2025-11-22 20:32:03.948484
GOOGL,2025-09-05 00:00:00,232.2,235.76,231.9,235.0,46588925,2025-11-22 20:32:03.949011
GOOGL,2025-09-04 00:00:00,229.65,232.37,226.11,232.3,51684167,2025-11-22 20:32:03.950036
GOOGL,2025-09-03 00:00:00,226.21,231.31,224.79,230.66,102090277,2025-11-22 20:32:03.951040
GOOGL,2025-09-02 00:00:00,208.44,211.675,206.195,211.35,47523037,2025-11-22 20:32:03.952191
GOOGL,2025-08-29 00:00:00,210.51,214.645,210.2,212.91,39728364,2025-11-22 20:32:03.953615
GOOGL,2025-08-28 00:00:00,207.25,212.22,206.9,211.64,32339307,2025-11-22 20:32:03.954432
GOOGL,2025-08-27 00:00:00,205.7,208.91,205.65,207.48,23022850,2025-11-22 20:32:03.955379
GOOGL,2025-08-26 00:00:00,207.51,207.85,205.7,207.14,28464130,2025-11-22 20:32:03.956063
GOOGL,2025-08-25 00:00:00,206.43,210.52,205.28,208.49,29928878,2025-11-22 20:32:03.956626
GOOGL,2025-08-22 00:00:00,202.73,208.54,201.3,206.09,42827040,2025-11-22 20:32:03.957269
GOOGL,2025-08-21 00:00:00,199.745,202.48,199.43,199.75,19774633,2025-11-22 20:32:03.957750
GOOGL,2025-08-20 00:00:00,200.73,201.28,196.595,199.32,28955498,2025-11-22 20:32:03.958228
GOOGL,2025-08-19 00:00:00,203.03,203.44,199.96,201.57,24240233,2025-11-22 20:32:03.958691
GOOGL,2025-08-18 00:00:00,204.2,205.265,202.49,203.5,18526594,2025-11-22 20:32:03.959166
GOOGL,2025-08-15 00:00:00,203.85,206.44,201.28,203.9,34931422,2025-11-22 20:32:03.960891
GOOGL,2025-08-14 00:00:00,201.5,204.44,201.225,202.94,25230427,2025-11-22 20:32:03.961408
GOOGL,2025-08-13 00:00:00,204.13,204.53,197.5101,201.96,28342922,2025-11-22 20:32:03.962010
GOOGL,2025-08-12 00:00:00,201.365,204.5,200.59,203.34,30424452,2025-11-22 20:32:03.962644
GOOGL,2025-08-11 00:00:00,200.935,201.475,199.07,201.0,25832435,2025-11-22 20:32:03.963144
GOOGL,2025-08-08 00:00:00,197.22,202.61,197.17,201.42,39161826,2025-11-22 20:32:03.963675
GOOGL,2025-08-07 00:00:00,197.06,197.54,194.33,196.52,26321811,2025-11-22 20:32:03.964229
GOOGL,2025-08-06 00:00:00,194.5,196.63,193.67,196.09,21562908,2025-11-22 20:32:03.964713
